Training started for V3c
============================================================
Epoch 199: Train=0.002238, Val=0.000059, Data=0.001217, Phys=493.702529, Lambda=2.07e-06, LR=1.00e-05
Epoch 200: Train=0.002262, Val=0.000057, Data=0.001229, Phys=489.467855, Lambda=2.11e-06, LR=1.00e-05
Epoch 201: Train=0.002274, Val=0.000056, Data=0.001222, Phys=488.108771, Lambda=2.15e-06, LR=1.00e-05
Epoch 202: Train=0.002283, Val=0.000060, Data=0.001213, Phys=486.801323, Lambda=2.20e-06, LR=1.00e-05
Epoch 203: Train=0.002305, Val=0.000057, Data=0.001218, Phys=484.031955, Lambda=2.24e-06, LR=1.00e-05
Epoch 204: Train=0.002320, Val=0.000055, Data=0.001216, Phys=481.713213, Lambda=2.29e-06, LR=1.00e-05
Epoch 205: Train=0.002348, Val=0.000054, Data=0.001229, Phys=478.849680, Lambda=2.34e-06, LR=1.00e-05
Epoch 206: Train=0.002353, Val=0.000057, Data=0.001217, Phys=475.874310, Lambda=2.39e-06, LR=1.00e-05
Epoch 207: Train=0.002373, Val=0.000057, Data=0.001213, Phys=476.118786, Lambda=2.44e-06, LR=1.00e-05
Epoch 208: Train=0.002408, Val=0.000054, Data=0.001235, Phys=471.696519, Lambda=2.49e-06, LR=1.00e-05
Epoch 209: Train=0.002423, Val=0.000052, Data=0.001231, Phys=469.886044, Lambda=2.54e-06, LR=1.00e-05
Epoch 210: Train=0.002434, Val=0.000051, Data=0.001220, Phys=468.348698, Lambda=2.59e-06, LR=1.00e-05
Epoch 211: Train=0.002454, Val=0.000054, Data=0.001228, Phys=463.701672, Lambda=2.64e-06, LR=1.00e-05
Epoch 212: Train=0.002473, Val=0.000052, Data=0.001228, Phys=461.325054, Lambda=2.70e-06, LR=1.00e-05
Epoch 213: Train=0.002492, Val=0.000053, Data=0.001226, Phys=459.584545, Lambda=2.75e-06, LR=1.00e-05
Epoch 214: Train=0.002515, Val=0.000053, Data=0.001225, Phys=458.921873, Lambda=2.81e-06, LR=1.00e-05
Epoch 215: Train=0.002534, Val=0.000054, Data=0.001234, Phys=452.976829, Lambda=2.87e-06, LR=1.00e-05
Epoch 216: Train=0.002557, Val=0.000051, Data=0.001238, Phys=450.510854, Lambda=2.93e-06, LR=1.00e-05
Epoch 217: Train=0.002579, Val=0.000046, Data=0.001233, Phys=450.360857, Lambda=2.99e-06, LR=1.00e-05
Epoch 218: Train=0.002607, Val=0.000052, Data=0.001248, Phys=445.492385, Lambda=3.05e-06, LR=1.00e-05
Epoch 219: Train=0.002608, Val=0.000051, Data=0.001223, Phys=444.765054, Lambda=3.11e-06, LR=1.00e-05
Epoch 220: Train=0.002654, Val=0.000051, Data=0.001253, Phys=440.712971, Lambda=3.18e-06, LR=1.00e-05
Epoch 221: Train=0.002684, Val=0.000053, Data=0.001268, Phys=436.613805, Lambda=3.24e-06, LR=1.00e-05
Epoch 222: Train=0.002702, Val=0.000060, Data=0.001257, Phys=436.203228, Lambda=3.31e-06, LR=1.00e-05
Epoch 223: Train=0.002727, Val=0.000049, Data=0.001269, Phys=431.562557, Lambda=3.38e-06, LR=1.00e-05
